InvoiceNo,CustomerID,Country,InvoiceDate,YearMonth,YearQuarter,NumLineItems,NumItems,NumUniqueProducts,InvoiceValue,AvgItemPrice,AvgCustomerAge,FamilySize,Profession,MaritalStatus,Education,DominantTimeOfDay,BasketValueBand
536393,13747,United Kingdom,2010-12-01T10:37:00Z,2010-12,2010-Q4,1,8,1,79.6,9.95,54,5,Doctor,Widow,Postgrad,Morning,Low Value
536394,13408,United Kingdom,2010-12-01T10:39:00Z,2010-12,2010-Q4,11,544,11,1024.68,2.188181818181818,44.54545454545455,3,Doctor,Married,Postgrad,Morning,Very High Value
536395,13767,United Kingdom,2010-12-01T10:47:00Z,2010-12,2010-Q4,14,260,14,507.88000000000005,2.5707142857142857,45.642857142857146,4,Doctor,Widow,Postgrad,Morning,High Value
536396,17850,United Kingdom,2010-12-01T10:51:00Z,2010-12,2010-Q4,18,102,18,376.36,5.211666666666667,39,5,Unknown,Divorced,Postgrad,Morning,High Value
536397,17924,United Kingdom,2010-12-01T10:51:00Z,2010-12,2010-Q4,2,60,2,279,4.65,33.5,2,Consultant,Single,Undergrad,Morning,Medium Value
536398,13448,United Kingdom,2010-12-01T10:52:00Z,2010-12,2010-Q4,17,150,17,426.56,3.7523529411764707,41,5,Doctor,Married,Postgrad,Morning,High Value
536399,17850,United Kingdom,2010-12-01T10:52:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,36,3,Doctor,Widow,Postgrad,Morning,Low Value
536400,13448,United Kingdom,2010-12-01T10:53:00Z,2010-12,2010-Q4,1,12,1,17.4,1.45,48,4,Doctor,Widow,Postgrad,Morning,Low Value
536401,15862,United Kingdom,2010-12-01T11:21:00Z,2010-12,2010-Q4,64,124,64,354.23,3.235,41.71875,5,Pharmacist,Married,Postgrad,Morning,High Value
536402,15513,United Kingdom,2010-12-01T11:22:00Z,2010-12,2010-Q4,3,116,3,357,3.1166666666666667,40.666666666666664,3,Pharmacist,Widow,Postgrad,Morning,High Value
536403,12791,Netherlands,2010-12-01T11:27:00Z,2010-12,2010-Q4,2,97,2,192.60000000000002,8.425,35,3,Pharmacist,Married,Postgrad,Morning,Medium Value
536404,16218,United Kingdom,2010-12-01T11:29:00Z,2010-12,2010-Q4,28,438,28,471.3,1.1696428571428572,46.82142857142857,4,Doctor,Widow,Postgrad,Morning,High Value
536405,14045,United Kingdom,2010-12-01T11:32:00Z,2010-12,2010-Q4,1,128,1,326.4,2.55,41,3,Doctor,Married,Postgrad,Morning,High Value
536406,17850,United Kingdom,2010-12-01T11:33:00Z,2010-12,2010-Q4,17,96,17,353.14,5.227058823529412,47.294117647058826,1,Unknown,Single,Undergrad,Morning,High Value
536407,17850,United Kingdom,2010-12-01T11:34:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,41.5,5,Doctor,Married,Postgrad,Morning,Low Value
536408,14307,United Kingdom,2010-12-01T11:41:00Z,2010-12,2010-Q4,48,558,48,783.11,2.403125,42.083333333333336,5,Doctor,Widow,Postgrad,Morning,High Value
536409,17908,United Kingdom,2010-12-01T11:45:00Z,2010-12,2010-Q4,58,173,51,243.28,2.672586206896552,42.1551724137931,4,Unknown,Single,Postgrad,Morning,Medium Value
536412,17920,United Kingdom,2010-12-01T11:49:00Z,2010-12,2010-Q4,80,218,54,511.11,2.802,41.4375,3,Doctor,Widow,Postgrad,Morning,High Value
536415,12838,United Kingdom,2010-12-01T11:57:00Z,2010-12,2010-Q4,59,228,59,390.79,1.9733898305084745,42.05084745762712,4,Pharmacist,Married,Postgrad,Morning,High Value
536416,13255,United Kingdom,2010-12-01T11:58:00Z,2010-12,2010-Q4,6,110,6,225.7,4.55,44.333333333333336,5,Pharmacist,Married,Postgrad,Morning,Medium Value
536420,16583,United Kingdom,2010-12-01T12:03:00Z,2010-12,2010-Q4,14,111,14,233.45000000000002,2.5642857142857145,43,5,Pharmacist,Widow,Postgrad,Afternoon,Medium Value
536423,18085,United Kingdom,2010-12-01T12:08:00Z,2010-12,2010-Q4,9,78,9,303.90000000000003,3.8444444444444446,45.22222222222222,3,Doctor,Widow,Postgrad,Afternoon,High Value
536425,13758,United Kingdom,2010-12-01T12:08:00Z,2010-12,2010-Q4,17,137,17,362.45,3.6205882352941177,42.588235294117645,3,Doctor,Married,Postgrad,Afternoon,High Value
536437,13694,United Kingdom,2010-12-01T12:12:00Z,2010-12,2010-Q4,6,1004,6,842.12,1.7633333333333334,43.333333333333336,5,Doctor,Widow,Postgrad,Afternoon,High Value
536446,15983,United Kingdom,2010-12-01T12:15:00Z,2010-12,2010-Q4,32,329,28,440.89,1.8790624999999999,41.28125,1,Unknown,Married,Postgrad,Afternoon,High Value
536460,14849,United Kingdom,2010-12-01T12:22:00Z,2010-12,2010-Q4,14,158,14,295.54,3.5485714285714285,41.642857142857146,4,Doctor,Married,Postgrad,Afternoon,Medium Value
536463,14849,United Kingdom,2010-12-01T12:22:00Z,2010-12,2010-Q4,1,12,1,17.4,1.45,58,2,Unknown,Married,Postgrad,Afternoon,Low Value
536464,17968,United Kingdom,2010-12-01T12:23:00Z,2010-12,2010-Q4,85,160,74,277.35,1.9291764705882353,43.07058823529412,4,Unknown,Single,Undergrad,Afternoon,Medium Value
536466,14849,United Kingdom,2010-12-01T12:23:00Z,2010-12,2010-Q4,2,18,2,42.9,2.85,50.5,3,Doctor,Widow,Postgrad,Afternoon,Low Value
536477,16210,United Kingdom,2010-12-01T12:27:00Z,2010-12,2010-Q4,14,1070,14,2474.7400000000002,2.5885714285714285,42.214285714285715,3,Pharmacist,Married,Postgrad,Afternoon,Very High Value
536488,17897,United Kingdom,2010-12-01T12:31:00Z,2010-12,2010-Q4,35,72,31,165.89,2.7077142857142857,43.57142857142857,5,Pharmacist,Married,Postgrad,Afternoon,Medium Value
536500,17377,United Kingdom,2010-12-01T12:35:00Z,2010-12,2010-Q4,15,102,15,223.9,2.8133333333333335,41.06666666666667,3,Doctor,Married,Postgrad,Afternoon,Medium Value
536502,16552,United Kingdom,2010-12-01T12:36:00Z,2010-12,2010-Q4,5,39,5,95.29,4.638,47.2,2,Unknown,Divorced,Postgrad,Afternoon,Low Value
536508,17181,United Kingdom,2010-12-01T12:38:00Z,2010-12,2010-Q4,2,216,2,155.52,0.805,50.5,4,Unknown,Divorced,Postgrad,Afternoon,Medium Value
536514,17951,United Kingdom,2010-12-01T12:40:00Z,2010-12,2010-Q4,5,118,5,295.5,4.4,35.4,3,Doctor,Widow,Postgrad,Afternoon,Medium Value
536520,14729,United Kingdom,2010-12-01T12:43:00Z,2010-12,2010-Q4,71,197,69,313.49,2.159154929577465,42.647887323943664,5,Doctor,Widow,Postgrad,Afternoon,High Value
536521,12748,United Kingdom,2010-12-01T12:48:00Z,2010-12,2010-Q4,1,1,1,4.95,4.95,31,4,Doctor,Married,Postgrad,Afternoon,Low Value
536522,15012,United Kingdom,2010-12-01T12:49:00Z,2010-12,2010-Q4,54,86,46,191.06,2.707222222222222,41.666666666666664,4,Unknown,Single,Postgrad,Afternoon,Medium Value
536523,12868,United Kingdom,2010-12-01T12:50:00Z,2010-12,2010-Q4,12,112,12,203.3,3.1708333333333334,40.583333333333336,4,Doctor,Widow,Postgrad,Afternoon,Medium Value
536524,17572,United Kingdom,2010-12-01T12:51:00Z,2010-12,2010-Q4,4,24,4,70.80000000000001,2.95,39.25,3,Pharmacist,Married,Postgrad,Afternoon,Low Value
536525,14078,United Kingdom,2010-12-01T12:54:00Z,2010-12,2010-Q4,13,29,13,136.24,3.49,42,4,Doctor,Married,Postgrad,Afternoon,Medium Value
536526,14001,United Kingdom,2010-12-01T12:58:00Z,2010-12,2010-Q4,9,94,9,301.24,4.415555555555556,41,3,Pharmacist,Widow,Postgrad,Afternoon,High Value
536527,12662,Germany,2010-12-01T13:04:00Z,2010-12,2010-Q4,15,157,15,261.48,2.958,39.86666666666667,5,Pharmacist,Widow,Postgrad,Afternoon,Medium Value
536528,15525,United Kingdom,2010-12-01T13:17:00Z,2010-12,2010-Q4,57,124,44,313.93,3.3466666666666667,42.92982456140351,5,Doctor,Married,Postgrad,Afternoon,High Value
536529,14237,United Kingdom,2010-12-01T13:20:00Z,2010-12,2010-Q4,9,38,9,161,7.122222222222222,35.333333333333336,5,Doctor,Widow,Postgrad,Afternoon,Medium Value
536530,17905,United Kingdom,2010-12-01T13:21:00Z,2010-12,2010-Q4,23,72,22,201.75,4.778260869565218,44.869565217391305,4,Pharmacist,Married,Postgrad,Afternoon,Medium Value
536531,15485,United Kingdom,2010-12-01T13:23:00Z,2010-12,2010-Q4,23,416,22,950.09,4.017826086956521,41.52173913043478,5,Doctor,Married,Postgrad,Afternoon,High Value
536532,12433,Norway,2010-12-01T13:24:00Z,2010-12,2010-Q4,73,1852,73,1919.14,1.4064383561643836,42.35616438356164,3,Unknown,Married,Postgrad,Afternoon,Very High Value
536533,16955,United Kingdom,2010-12-01T13:31:00Z,2010-12,2010-Q4,6,80,6,156.1,6.675,43.833333333333336,4,Doctor,Married,Postgrad,Afternoon,Medium Value
536534,15350,United Kingdom,2010-12-01T13:33:00Z,2010-12,2010-Q4,5,51,5,115.65,2.67,43.4,4,Doctor,Married,Postgrad,Afternoon,Medium Value
536535,15605,United Kingdom,2010-12-01T13:38:00Z,2010-12,2010-Q4,12,71,12,194.85000000000002,4.8500000000000005,41.833333333333336,5,Doctor,Married,Postgrad,Afternoon,Medium Value
536536,18144,United Kingdom,2010-12-01T13:45:00Z,2010-12,2010-Q4,3,95,3,165.04999999999998,2.63,53,4,Pharmacist,Married,Postgrad,Afternoon,Medium Value
536537,15922,United Kingdom,2010-12-01T13:51:00Z,2010-12,2010-Q4,11,138,11,369.5,4.409090909090909,40.09090909090909,5,Pharmacist,Widow,Postgrad,Afternoon,High Value
536538,14594,United Kingdom,2010-12-01T13:54:00Z,2010-12,2010-Q4,31,146,31,255,3.008709677419355,41.12903225806452,3,Pharmacist,Married,Postgrad,Afternoon,Medium Value
536539,15165,United Kingdom,2010-12-01T14:03:00Z,2010-12,2010-Q4,27,160,27,487.75,4.987037037037037,39.96296296296296,5,Doctor,Widow,Postgrad,Afternoon,High Value
536540,14911,Eire,2010-12-01T14:05:00Z,2010-12,2010-Q4,20,231,20,540.38,6.6194999999999995,43.45,5,Doctor,Married,Postgrad,Afternoon,High Value
536541,14911,Eire,2010-12-01T14:05:00Z,2010-12,2010-Q4,1,12,1,15,1.25,54,5,Pharmacist,Married,Postgrad,Afternoon,Low Value
536542,16456,United Kingdom,2010-12-01T14:11:00Z,2010-12,2010-Q4,16,392,16,787.4,1.965625,40.8125,3,Doctor,Married,Postgrad,Afternoon,High Value
536551,17346,United Kingdom,2010-12-01T14:34:00Z,2010-12,2010-Q4,35,88,29,146.61,2.250857142857143,43.31428571428572,1,Unknown,Married,Postgrad,Afternoon,Medium Value
536556,17643,United Kingdom,2010-12-01T14:38:00Z,2010-12,2010-Q4,8,71,8,101.55,4.01875,42,3,Doctor,Widow,Postgrad,Afternoon,Medium Value
536557,17841,United Kingdom,2010-12-01T14:41:00Z,2010-12,2010-Q4,65,199,62,537.38,3.872153846153846,40.86153846153846,5,Pharmacist,Married,Postgrad,Afternoon,High Value
536559,17873,United Kingdom,2010-12-01T14:54:00Z,2010-12,2010-Q4,9,129,7,215.15,2.0166666666666666,42.44444444444444,5,Unknown,Married,Undergrad,Afternoon,Medium Value
536560,13093,United Kingdom,2010-12-01T15:00:00Z,2010-12,2010-Q4,13,256,13,799.4,5.180769230769231,41.69230769230769,5,Unknown,Single,Postgrad,Afternoon,High Value
536561,12921,United Kingdom,2010-12-01T15:06:00Z,2010-12,2010-Q4,15,140,15,322.40000000000003,2.4833333333333334,40.13333333333333,3,Pharmacist,Widow,Postgrad,Afternoon,High Value
536562,13468,United Kingdom,2010-12-01T15:08:00Z,2010-12,2010-Q4,18,99,18,308.65000000000003,5.016666666666667,37.611111111111114,3,Pharmacist,Married,Postgrad,Afternoon,High Value
536563,17760,United Kingdom,2010-12-01T15:08:00Z,2010-12,2010-Q4,9,165,9,172.54,2.6244444444444444,36.44444444444444,3,Unknown,Single,Postgrad,Afternoon,Medium Value
536564,13468,United Kingdom,2010-12-01T15:08:00Z,2010-12,2010-Q4,2,12,2,51.4,5.699999999999999,36.5,4,Teacher,Single,Postgrad,Afternoon,Low Value
536566,16928,United Kingdom,2010-12-01T15:21:00Z,2010-12,2010-Q4,6,93,6,116.25,1.25,42.333333333333336,5,Pharmacist,Married,Postgrad,Afternoon,Medium Value
536567,16048,United Kingdom,2010-12-01T15:27:00Z,2010-12,2010-Q4,7,132,7,251.40000000000003,1.792857142857143,46.42857142857143,4,Pharmacist,Married,Postgrad,Afternoon,Medium Value
536568,16048,United Kingdom,2010-12-01T15:28:00Z,2010-12,2010-Q4,1,12,1,5.04,0.42,51,3,Pharmacist,Married,Postgrad,Afternoon,Low Value
536569,16274,United Kingdom,2010-12-01T15:35:00Z,2010-12,2010-Q4,67,155,64,357.95,4.277611940298508,39.656716417910445,5,Doctor,Married,Postgrad,Afternoon,High Value
536570,14496,United Kingdom,2010-12-01T15:35:00Z,2010-12,2010-Q4,5,86,5,304.34000000000003,5.358,47,3,Unknown,Divorced,Undergrad,Afternoon,High Value
536571,14696,United Kingdom,2010-12-01T15:37:00Z,2010-12,2010-Q4,18,284,18,294.62,2.3216666666666668,43.111111111111114,2,Unknown,Married,Postgrad,Afternoon,Medium Value
536572,16539,United Kingdom,2010-12-01T15:40:00Z,2010-12,2010-Q4,21,301,21,442.34999999999997,2.407142857142857,41.714285714285715,5,Doctor,Married,Postgrad,Afternoon,High Value
536573,17025,United Kingdom,2010-12-01T15:45:00Z,2010-12,2010-Q4,4,136,4,143.12,0.9775,46.5,4,Unknown,Married,Undergrad,Afternoon,Medium Value
536574,17025,United Kingdom,2010-12-01T15:46:00Z,2010-12,2010-Q4,1,3,1,17.85,5.95,37,4,Doctor,Married,Postgrad,Afternoon,Low Value
536575,13777,United Kingdom,2010-12-01T16:01:00Z,2010-12,2010-Q4,8,858,8,1552.98,2.09875,43.5,4,Doctor,Widow,Postgrad,Afternoon,Very High Value
536576,13777,United Kingdom,2010-12-01T16:11:00Z,2010-12,2010-Q4,16,1122,16,2558.42,2.30625,42.5625,5,Doctor,Married,Postgrad,Afternoon,Very High Value
536577,13777,United Kingdom,2010-12-01T16:13:00Z,2010-12,2010-Q4,4,388,4,497,1.3,46,3,Pharmacist,Married,Postgrad,Afternoon,High Value
536578,17690,United Kingdom,2010-12-01T16:15:00Z,2010-12,2010-Q4,8,104,8,279.6,3.2062500000000003,45.375,3,Doctor,Married,Postgrad,Afternoon,Medium Value
536579,13777,United Kingdom,2010-12-01T16:16:00Z,2010-12,2010-Q4,2,276,2,315.96000000000004,1.255,34,3,Doctor,Widow,Postgrad,Afternoon,High Value
536580,17690,United Kingdom,2010-12-01T16:17:00Z,2010-12,2010-Q4,6,66,6,97.19999999999999,1.525,43.666666666666664,4,Doctor,Widow,Postgrad,Afternoon,Low Value
536581,13777,United Kingdom,2010-12-01T16:19:00Z,2010-12,2010-Q4,1,200,1,330,1.65,21,2,Unknown,Married,Undergrad,Afternoon,High Value
536582,12947,United Kingdom,2010-12-01T16:21:00Z,2010-12,2010-Q4,17,184,17,304.04,2.9605882352941175,43.23529411764706,3,Doctor,Widow,Postgrad,Afternoon,High Value
536583,13777,United Kingdom,2010-12-01T16:21:00Z,2010-12,2010-Q4,1,120,1,198,1.65,52,5,Doctor,Married,Postgrad,Afternoon,Medium Value
536584,13777,United Kingdom,2010-12-01T16:22:00Z,2010-12,2010-Q4,1,384,1,1132.8000000000002,2.95,60,4,Unknown,Single,Postgrad,Afternoon,Very High Value
536585,17460,United Kingdom,2010-12-01T16:24:00Z,2010-12,2010-Q4,1,2,1,19.9,9.95,33,4,Consultant,Married,Undergrad,Afternoon,Low Value
536586,18229,United Kingdom,2010-12-01T16:25:00Z,2010-12,2010-Q4,7,44,7,344.2,6.95,48,5,Doctor,Married,Postgrad,Afternoon,High Value
536587,14142,United Kingdom,2010-12-01T16:33:00Z,2010-12,2010-Q4,22,313,22,311.81,1.7704545454545455,38.95454545454545,2,Consultant,Single,Undergrad,Afternoon,High Value
536588,17069,United Kingdom,2010-12-01T16:49:00Z,2010-12,2010-Q4,11,103,11,277.05,3.2954545454545454,47.36363636363637,4,Doctor,Widow,Postgrad,Afternoon,Medium Value
536590,13065,United Kingdom,2010-12-01T16:52:00Z,2010-12,2010-Q4,14,74,14,205.86,5.222142857142857,43.214285714285715,3,Doctor,Married,Postgrad,Afternoon,Medium Value
536591,14606,United Kingdom,2010-12-01T16:57:00Z,2010-12,2010-Q4,34,81,34,159.26,2.7826470588235295,41.26470588235294,4,Pharmacist,Married,Postgrad,Afternoon,Medium Value
536591,14606,United Kingdom,2010-12-01T16:58:00Z,2010-12,2010-Q4,6,12,6,39.06,3.89,38.5,4,Unknown,Married,Undergrad,Afternoon,Low Value
536593,16835,United Kingdom,2010-12-01T17:15:00Z,2010-12,2010-Q4,5,19,5,81.75,5.34,47,5,Pharmacist,Widow,Postgrad,Evening,Low Value
536594,15235,United Kingdom,2010-12-01T17:22:00Z,2010-12,2010-Q4,5,34,5,79.5,2.71,38.2,5,Doctor,Widow,Postgrad,Evening,Low Value
536595,13576,United Kingdom,2010-12-01T17:24:00Z,2010-12,2010-Q4,11,108,11,349.15,3.2763636363636364,40.54545454545455,3,Doctor,Married,Postgrad,Evening,High Value
536597,18011,United Kingdom,2010-12-01T17:35:00Z,2010-12,2010-Q4,28,71,28,102.78999999999999,2.3610714285714285,41.607142857142854,5,Pharmacist,Widow,Postgrad,Evening,Medium Value
536598,13090,United Kingdom,2010-12-02T07:48:00Z,2010-12,2010-Q4,4,76,4,160.6,1.9,37.25,4,Doctor,Widow,Postgrad,Morning,Medium Value
536599,15694,United Kingdom,2010-12-02T07:49:00Z,2010-12,2010-Q4,6,80,6,306.4,5.358333333333333,37.166666666666664,5,Doctor,Married,Postgrad,Morning,High Value
536600,17850,United Kingdom,2010-12-02T08:32:00Z,2010-12,2010-Q4,12,56,12,251.62,6.5475,43.5,2,Unknown,Divorced,Undergrad,Morning,Medium Value
536601,17850,United Kingdom,2010-12-02T08:33:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,42,3,Pharmacist,Married,Postgrad,Morning,Low Value
536602,17850,United Kingdom,2010-12-02T08:34:00Z,2010-12,2010-Q4,12,64,12,163.76,2.955,44.916666666666664,2,Teacher,Married,Postgrad,Morning,Medium Value
536603,17850,United Kingdom,2010-12-02T08:40:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,41,5,Doctor,Widow,Postgrad,Morning,Low Value
536604,14741,United Kingdom,2010-12-02T08:43:00Z,2010-12,2010-Q4,9,114,9,184.5,1.7944444444444445,46.44444444444444,1,Unknown,Divorced,Postgrad,Morning,Medium Value
536605,13715,United Kingdom,2010-12-02T08:52:00Z,2010-12,2010-Q4,15,107,15,272.65000000000003,3.3200000000000003,41.4,4,Doctor,Widow,Postgrad,Morning,Medium Value
536607,17732,United Kingdom,2010-12-02T09:29:00Z,2010-12,2010-Q4,18,93,18,303.97,4.9494444444444445,42.27777777777778,3,Unknown,Single,Postgrad,Morning,High Value
536608,12855,United Kingdom,2010-12-02T09:37:00Z,2010-12,2010-Q4,3,30,3,38.1,1.55,41,5,Pharmacist,Widow,Postgrad,Morning,Low Value
536609,17850,United Kingdom,2010-12-02T09:41:00Z,2010-12,2010-Q4,16,88,16,244.46,3.113125,38.5625,2,Unknown,Divorced,Undergrad,Morning,Medium Value
536610,17850,United Kingdom,2010-12-02T09:42:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,44,5,Pharmacist,Married,Postgrad,Morning,Low Value
536611,15752,United Kingdom,2010-12-02T09:43:00Z,2010-12,2010-Q4,14,153,14,259.65000000000003,1.8857142857142857,42,4,Doctor,Widow,Postgrad,Morning,Medium Value
536612,17850,United Kingdom,2010-12-02T09:44:00Z,2010-12,2010-Q4,15,82,15,206.76,2.8106666666666666,49.266666666666666,3,Unknown,Divorced,Postgrad,Morning,Medium Value
536613,17855,United Kingdom,2010-12-02T09:44:00Z,2010-12,2010-Q4,17,197,17,208.97,1.7658823529411765,41.1764705882353,3,Pharmacist,Married,Postgrad,Morning,Medium Value
536614,17850,United Kingdom,2010-12-02T09:44:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,41.5,4,Pharmacist,Widow,Postgrad,Morning,Low Value
536615,14047,United Kingdom,2010-12-02T10:09:00Z,2010-12,2010-Q4,12,108,12,286.92,5.6658333333333335,45.333333333333336,5,Pharmacist,Married,Postgrad,Morning,Medium Value
536616,17925,United Kingdom,2010-12-02T10:10:00Z,2010-12,2010-Q4,1,72,1,244.08,3.39,31,4,Doctor,Married,Postgrad,Morning,Medium Value
536617,13941,United Kingdom,2010-12-02T10:17:00Z,2010-12,2010-Q4,11,644,11,1095.1200000000001,2.1336363636363638,43.36363636363637,5,Pharmacist,Married,Postgrad,Morning,Very High Value
536618,17017,United Kingdom,2010-12-02T10:17:00Z,2010-12,2010-Q4,21,600,21,780.12,1.4338095238095239,40.38095238095238,5,Doctor,Married,Postgrad,Morning,High Value
536619,17017,United Kingdom,2010-12-02T10:18:00Z,2010-12,2010-Q4,2,48,2,97.19999999999999,2.6,46.5,3,Doctor,Married,Postgrad,Morning,Low Value
536620,14135,United Kingdom,2010-12-02T10:27:00Z,2010-12,2010-Q4,23,741,23,485.25,1.26,40.608695652173914,4,Doctor,Married,Postgrad,Morning,High Value
536621,13108,United Kingdom,2010-12-02T10:35:00Z,2010-12,2010-Q4,10,298,10,350.06,1.752,42.1,4,Doctor,Widow,Postgrad,Morning,High Value
536623,15601,United Kingdom,2010-12-02T10:39:00Z,2010-12,2010-Q4,48,666,48,768.38,1.7191666666666667,41.895833333333336,3,Pharmacist,Married,Postgrad,Morning,High Value
536624,13418,United Kingdom,2010-12-02T10:45:00Z,2010-12,2010-Q4,22,228,22,610.64,3.4518181818181817,42.5,5,Doctor,Widow,Postgrad,Morning,High Value
536626,13418,United Kingdom,2010-12-02T10:46:00Z,2010-12,2010-Q4,1,6,1,12.600000000000001,2.1,40,4,Pharmacist,Widow,Postgrad,Morning,Low Value
536627,15658,United Kingdom,2010-12-02T10:53:00Z,2010-12,2010-Q4,14,64,14,306.2,7.192857142857143,37.285714285714285,5,Pharmacist,Married,Postgrad,Morning,High Value
536628,17850,United Kingdom,2010-12-02T10:54:00Z,2010-12,2010-Q4,16,86,16,230.56,3.113125,48.375,5,Unknown,Divorced,Postgrad,Morning,Medium Value
536629,17850,United Kingdom,2010-12-02T10:55:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,48,3,Pharmacist,Married,Postgrad,Morning,Low Value
536630,17850,United Kingdom,2010-12-02T10:56:00Z,2010-12,2010-Q4,16,88,16,244.46,3.113125,38.5,2,Unknown,Divorced,Undergrad,Morning,Medium Value
536631,17850,United Kingdom,2010-12-02T10:58:00Z,2010-12,2010-Q4,2,12,2,22.200000000000003,1.85,45,3,Doctor,Widow,Postgrad,Morning,Low Value
